List A,List B1,List B2
Arabic,Accountancy / Book keeping,Agriculture
Assamese,Anthropology,Engineering Graphics
Bengali,Biology / Biological Studies / Biotechnology / Biochemistry,Entrepreneurship
Bodo,Business Studies,Fine Arts / Visual Arts (Sculpture/Painting)/ Commercial Art
Chinese,Chemistry,Knowledge Traditions and Practices of India (KTPI)
Dogri,Computer Science / Informatics Practices,Mass Media / Mass Communication
English,Economics / Business Economics,Performing Arts
French,Environmental Studies,Physical Education / NCC / Yoga
German,Geography / Geology,Teaching Aptitude
Gujarati,History,
Hindi,Home Science,
Italian,Legal Studies,
Japanese,Mathematics / Applied Mathematics,
Kannada,Physics,
Kashmiri,Political Science,
Konkani,Psychology,
Maithili,Sanskrit,
Malayalam,Sociology,
Manipuri,,
Marathi,,
Nepali,,
Odia,,
Persian,,
Punjabi,,
Russian,,
Sanskrit,,
Santhali,,
Sindhi,,
Spanish,,
Tamil,,
Telugu,,
Tibetan,,
Urdu,,
"Annexure – I
B.A. Program Combinations",,,,,,,,,,,
Aditi Mahavidyalaya (W),,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Economics)",10,6,4,2,3,0,0,1,1,1
2,"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Mathematics)",20,12,8,4,6,0,0,3,3,3
3,B.A Program (Economics + Food Technology),10,6,4,2,3,0,0,1,1,1
4,B.A Program (Economics + Mathematics),5,3,2,1,2,0,0,1,1,1
5,B.A Program (Economics + Psychology),10,6,4,2,3,0,0,1,1,1
6,B.A Program (Education + Geography),10,6,4,2,3,0,0,1,1,1
7,B.A Program (Education + Human Development and Family Empowerment (HDFE)),8,4,3,2,2,0,0,1,1,1
8,B.A Program (Education + Political Science),17,12,7,3,4,0,0,1,1,1
9,B.A Program (Food Technology (FT) + Geography),13,10,4,2,2,0,0,1,1,1
10,B.A Program (Geography + History),13,10,4,2,2,0,0,2,2,2
11,B.A Program (Hindi + NHE),10,6,4,2,3,0,0,1,1,1
12,B.A Program (Hindi + OMSP),9,6,3,2,2,0,0,1,1,1
13,B.A Program (Hindi + Political Science),13,10,4,2,2,0,0,2,2,2
14,B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),15,11,6,2,4,0,0,1,1,1
15,B.A Program (Mathematics + Psychology),13,10,4,2,2,0,0,2,2,2
16,B.A Program (Music + Sociology),13,10,4,2,2,0,0,2,2,2
17,B.A Program (NHE + Sociology),13,9,4,2,3,0,0,2,2,2
18,B.A Program (Office Management & Secretarial Practice (OMSP) + Sociology),15,11,6,2,4,0,0,2,2,2
19,B.A Program (Political Science + Sociology),20,12,8,4,6,0,0,3,3,3
20,B.A Program (Sanskrit + History),20,12,8,4,6,0,0,3,3,3
21,B.A Program (Sanskrit + Music),8,4,3,2,2,0,0,1,1,1
22,B.A Program (Sanskrit + Political Science),7,5,3,2,2,0,0,1,1,1
,TOTAL,272,181,101,50,68,0,0,34,34,34
,,,,,,,,,,,
Aryabhatta College,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Economics + Mathematics),The Seat Matrix shall be notified later,,,,,,,,,
2,B.A Program (English + Psychology),,,,,,,,,,
3,B.A Program (History + Political Science),,,,,,,,,,
,TOTAL,,,,,,,,,,
,,,,,,,,,,,
Atma Ram Sanatan Dharma College,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Any two disciplines from (History/Political Sc./Economics)),30,17,8,4,4,0,0,1,1,1
2,"B.A Program (Computer Applications + Any other discipline subject from (English/Hindi/Sanskrit/Political
Sc./Economics/Mathematics/Comp. App./History))",3,3,2,1,2,0,0,1,1,1
3,"B.A Program (English + Any other discipline subject from (English/Hindi/Sanskrit/Political
Sc./Economics/Mathematics/Comp. App./History))",3,3,2,1,2,0,0,1,1,1
4,"B.A Program (Hindi + Any other discipline subject from (English/Hindi/Sanskrit/Political
Sc./Economics/Mathematics/Comp. App./History))",3,3,2,1,2,0,0,1,1,1
5,"B.A Program (Mathematics + Any other discipline subject from (English/Hindi/Sanskrit/Political
Sc./Economics/Mathematics/Comp. App./History))",3,3,2,1,2,0,0,1,1,1
6,B.A Program (Sanskrit + Any other discipline subject from (English/Hindi/Sanskrit/Political Sc./Economics/Mathematics/Comp. App./History)),3,3,2,1,2,0,0,1,1,1
,TOTAL,45,32,18,9,14,0,0,6,6,6
,,,,,,,,,,,
Bhagini Nivedita College (W),,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Computer Applications + Economics),16,10,6,3,4,0,0,2,2,1
2,B.A Program (Computer Applications + Political Science),4,3,1,1,1,0,0,1,1,1
3,B.A Program (Economics + History),15,10,6,3,4,0,0,2,2,1
4,B.A Program (Economics + OMSP),6,4,2,1,2,0,0,1,1,0
5,B.A Program (Economics + Political Science),22,15,8,4,5,0,0,3,3,2
6,B.A Program (Food Technology (FT) + History),9,6,4,2,2,0,0,1,1,1
7,B.A Program (Food Technology (FT) + Political Science),10,7,4,2,3,0,0,1,1,1
8,B.A Program (History + Apparel Design & Construction (ADC)),9,6,4,2,2,0,0,1,1,1
9,B.A Program (History + Human Development and Family Empowerment (HDFE)),9,6,4,2,2,0,0,1,1,1
10,B.A Program (History + Music),5,3,2,1,1,0,0,1,1,0
11,B.A Program (History + Nutrition and Health Education (NHE)),9,6,4,2,2,0,0,1,1,1
12,B.A Program (History + Political Science),22,15,8,4,5,0,0,3,3,2
13,B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),10,7,4,2,3,0,0,1,1,1
14,B.A Program (Music + Political Science),5,3,2,1,1,0,0,1,1,0
15,B.A Program (Office Management & Secretarial Practice (OMSP) + Political Science),4,2,1,1,1,0,0,1,1,0
16,B.A Program (Political Science + Apparel Design & Construction (ADC)),10,7,4,2,3,0,0,1,1,1
